node_X_pix,node_Y_pix
1802,1508
1836,1463
1841,1501
1844,1495
1846,1501
1852,1492
1855,1498
1861,1485
1866,1488
1866,1495
1881,1221
1892,1365
1917,1162
1925,1382
1941,1122
1944,1445
1945,1168
1950,1773
1951,1350
1951,1801
1956,1355
1964,1320
1965,1354
1967,1371
1969,1335
1970,1361
1973,1318
1974,1407
1974,1411
1974,1497
1975,1408
1976,1787
1977,1452
1978,1374
1980,1242
1980,1449
1982,1380
1984,1613
1985,1756
1986,1263
1986,1439
1986,1442
1987,1538
1988,1253
1988,1476
1989,1450
1989,1540
1992,1238
1993,1453
1993,1488
1997,1471
1997,1489
1998,1470
2000,1496
2001,1473
2002,1411
2007,1419
2008,1481
2013,1647
2016,1598
2023,1513
2024,1446
2029,1169
2035,1463
2040,1607
2045,1206
2048,1213
2052,1489
2056,1208
2056,1750
2057,1210
2057,1497
2058,1749
2060,1526
2067,1740
2072,1520
2076,1203
2078,1546
2078,1744
2087,1544
2091,1670
2100,1565
2100,1601
2101,1658
2102,1636
2105,1651
2106,1725
2108,1577
2111,1651
2112,1583
2115,1659
2116,1127
2122,1678
2123,1643
2123,1680
2124,1185
2127,1669
2132,1668
2137,1685
2139,1645
2143,1631
2145,1654
2149,1068
2155,1707
2157,1654
2158,1137
2158,1173
2159,1657
2163,1147
2164,1679
2168,1671
2170,1138
2172,1141
2174,1161
2174,1703
2175,1682
2177,1166
2180,1690
2183,1711
2191,1705
2191,1721
2193,1160
2193,1724
2195,1711
2201,1719
2207,1090
2213,1735
2273,1080
2296,1776
2297,1791
2302,1119
2313,1032
2319,988
2325,1008
2328,1109
2342,1759
2345,1762
2408,1079
2414,1077
2446,1720
2446,1726
2454,1717
2457,1062
2458,1721
2462,1047
2469,1080
2483,1067
2489,1110
2490,1109
2491,1055
2494,1047
2501,1049
2508,1079
2523,1162
2526,1140
2532,1175
2534,1687
2540,1728
2552,1205
2574,1131
2576,1671
2577,1243
2580,1162
2593,1268
2593,1665
2594,1110
2595,1124
2603,1283
2608,1117
2611,1231
2611,1257
2612,1739
2615,1075
2618,1671
2620,1158
2646,1211
2663,1373
2667,1149
2668,1374
2673,1298
2685,1200
2688,1412
2689,1246
2695,1192
2699,1625
2701,1627
2702,1199
2704,1436
2708,1311
2709,1282
2712,1387
2720,1439
2741,1492
2751,1606
2751,1612
2753,1488
2758,1579
2767,1531
2769,1579
2770,1525
2795,1458
2861,1478
2336,1396
