EndNodes_1,EndNodes_2,name,edge_id,Weight,Length,Width,Volume,Type,Distance
1,9,745A6193,1,2.879694938659668,196.057861328125,29.468059539794922,133714.109375,E,1004.5040283203125
2,21,745A6193,2,0.8429343700408936,213.2808380126953,31.951601028442383,171012.15625,E,997.5550537109375
3,5,745A6193,3,1.521098256111145,77.68368530273438,20.958553314208984,26800.462890625,E,1021.7918090820312
4,8,745A6193,4,0.2780906558036804,93.4198989868164,32.289886474609375,76500.1484375,E,965.6680297851562
5,6,745A6193,5,0.14032112061977386,62.131690979003906,34.7052116394043,58774.97265625,E,971.6223754882812
5,7,745A6193,6,0.27059704065322876,81.34933471679688,34.70380783081055,76948.140625,E,972.1826171875
6,10,745A6193,7,0.13103905320167542,40.76676940917969,35.288734436035156,39872.03125,E,938.6871337890625
6,11,745A6193,8,0.10154230892658234,32.361846923828125,35.709537506103516,32410.939453125,E,936.59228515625
7,129,745A6193,9,3.120199680328369,951.2216186523438,35.92210388183594,964040.1875,F,475.6126403808594
8,9,745A6193,10,0.026475947350263596,7.776000022888184,34.275386810302734,7174.8173828125,E,928.8098754882812
8,17,745A6193,11,0.07502587884664536,42.28512954711914,34.57270812988281,39695.78125,E,911.515869140625
9,25,745A6193,12,0.44772815704345703,111.37972259521484,32.252349853515625,90995.2578125,E,880.6979370117188
10,12,745A6193,13,0.02394983358681202,9.923282623291016,34.99369430541992,9543.8759765625,E,919.6612548828125
10,14,745A6193,14,0.11513068526983261,36.472206115722656,35.592105865478516,36287.6875,E,917.7996215820312
11,129,745A6193,15,2.965491771697998,924.37060546875,35.92210388183594,936827.3125,F,462.18707275390625
12,16,745A6193,16,0.08278337121009827,26.10420799255371,35.53129196166992,25883.462890625,E,905.9812622070312
12,17,745A6193,17,0.19204649329185486,60.42912292480469,35.47191619873047,59718.03125,E,904.4318237304688
13,15,745A6193,18,0.9511625170707703,64.09477233886719,18.66240119934082,17532.6484375,E,981.8685913085938
13,18,745A6193,19,0.1507512629032135,26.10420799255371,27.09684944152832,15053.517578125,E,974.905029296875
