EndNodes_1,EndNodes_2,name,edge_id,Weight,Length,Width,Volume,Type,Distance
1,4,745A6305,1,12.080233573913574,128.18955993652344,20.6418399810791,42898.23046875,E,2505.9365234375
2,18,745A6305,2,1.361250638961792,315.6266784667969,30.52461051940918,230974.40625,E,2394.7734375
3,5,745A6305,3,0.3154599666595459,63.2053337097168,28.274150848388672,39684.66796875,E,2458.206298828125
4,5,745A6305,4,0.04116036742925644,13.588924407958984,26.65863609313965,7584.91650390625,E,2446.849609375
4,6,745A6305,5,0.3324364423751831,48.98748779296875,22.24407386779785,19037.228515625,E,2440.951416015625
5,6,745A6305,6,0.09281189739704132,18.328208923339844,28.102025985717773,11368.029296875,E,2435.1884765625
6,24,745A6305,7,1.292373776435852,297.1142578125,30.616838455200195,218742.953125,E,2288.79345703125
7,8,745A6305,8,0.11978308856487274,13.588924407958984,18.316801071166992,3580.751708984375,E,2401.955078125
7,9,745A6305,9,0.07443302124738693,10.99692440032959,24.456283569335938,5165.85302734375,E,2401.853515625
7,10,745A6305,10,0.5120036005973816,44.432411193847656,21.710359573364258,16448.40625,E,2405.8095703125
8,10,745A6305,11,0.14473342895507812,16.180925369262695,18.408283233642578,4306.4541015625,E,2395.739013671875
9,11,745A6305,12,0.043662331998348236,31.2882080078125,15.40969467163086,5835.23876953125,E,2391.01318359375
9,12,745A6305,13,0.11014992743730545,23.956924438476562,29.59058952331543,16475.103515625,E,2386.94775390625
10,11,745A6305,14,0.1853671818971634,23.512208938598633,22.796894073486328,9596.9814453125,E,2385.29541015625
11,12,745A6305,15,0.09205609560012817,26.54892349243164,26.109743118286133,14214.8408203125,E,2376.560791015625
12,16,745A6305,16,0.3817633390426636,91.0121078491211,30.881881713867188,68170.515625,E,2345.397705078125
13,14,745A6305,17,5.917269706726074,9.923283576965332,3.5830588340759277,100.05830383300781,E,2325.27490234375
13,15,745A6305,18,1.5088918209075928,19.846567153930664,14.652423858642578,3346.526123046875,E,2321.88671875
14,15,745A6305,19,0.08904868364334106,13.588924407958984,25.558135986328125,6971.6142578125,E,2317.13623046875
15,16,745A6305,20,0.02666221559047699,6.257641315460205,30.62964630126953,4610.8876953125,E,2312.806396484375
16,26,745A6305,21,0.8175090551376343,214.64654541015625,30.058486938476562,152316.875,E,2225.0166015625
17,18,745A6305,22,0.4951329231262207,124.15548706054688,29.829853057861328,86767.6875,E,2273.41064453125
18,52,745A6305,23,1.1089122295379639,266.1944580078125,31.023967742919922,201225.75,E,2132.032958984375
19,44,745A6305,24,4.840597152709961,199.1708984375,22.04208755493164,76001.3359375,E,2111.37109375
20,21,745A6305,25,0.07514812797307968,17.699283599853516,30.59866714477539,13015.1923828125,E,2182.170654296875
20,22,745A6305,26,0.22556990385055542,61.05805206298828,23.14097023010254,25680.0546875,E,2188.013427734375
20,23,745A6305,27,0.12372404336929321,22.438568115234375,26.96442413330078,12813.486328125,E,2173.344482421875
