node_X_pix,node_Y_pix
1843,1489
1851,1492
1855,1498
1858,1497
1860,1485
1864,1488
1868,1487
1871,1497
1887,1248
1898,1369
1912,1168
1925,1382
1944,1445
1950,1350
1952,1352
1957,1363
1963,1360
1964,1320
1965,1352
1967,1356
1968,1358
1969,1335
1970,1789
1973,1318
1974,1411
1974,1497
1975,1407
1976,1406
1977,1451
1979,1241
1982,1572
1983,1436
1984,1442
1985,1442
1986,1263
1987,1477
1987,1539
1988,1253
1989,1450
1989,1541
1992,1238
1992,1453
1992,1487
1993,1408
1994,1434
1997,1489
1998,1405
1998,1469
2000,1495
2002,1423
2008,1752
2009,1422
2010,1480
2014,1597
2022,1513
2023,1444
2035,1463
2035,1659
2039,1607
2043,1178
2043,1202
2048,1213
2053,1491
2056,1208
2056,1750
2057,1210
2057,1497
2058,1749
2059,1526
2067,1739
2073,1522
2076,1203
2077,1545
2078,1744
2086,1542
2093,1671
2094,1604
2100,1565
2101,1658
2108,1577
2111,1651
2112,1583
2114,1659
2122,1106
2122,1620
2122,1678
2123,1643
2124,1185
2127,1669
2131,1104
2132,1668
2133,1616
2135,1114
2136,1684
2138,1645
2143,1631
2145,1653
2154,1079
2155,1706
2157,1137
2157,1654
2158,1173
2160,1659
2162,1146
2164,1679
2168,1671
2170,1138
2171,1141
2173,1160
2174,1703
2176,1166
2177,1685
2179,1688
2183,1711
2186,1732
2190,1722
2191,1705
2193,1160
2193,1725
2193,1726
2195,1711
2196,1101
2201,1719
2213,1735
2285,1099
2296,1776
2297,1791
2300,1002
2302,1119
2313,1033
2328,1109
2338,976
2342,1759
2345,1762
2391,1079
2391,1086
2412,1053
2414,1077
2449,1719
2452,1726
2457,1062
2459,1058
2468,1079
2485,1067
2491,1113
2492,1113
2518,1154
2523,1162
2532,1175
2534,1687
2538,1718
2552,1205
2565,1143
2574,1672
2577,1243
2579,1162
2592,1665
2593,1268
2597,1121
2602,1282
2602,1715
2603,1261
2608,1158
2611,1232
2618,1671
2646,1162
2646,1211
2663,1373
2669,1297
2669,1374
2676,1253
2681,1291
2681,1304
2687,1200
2687,1411
2699,1625
2701,1627
2704,1395
2704,1436
2715,1308
2720,1438
2750,1612
2752,1604
2767,1531
2770,1536
2335,1397
