node_X_pix,node_Y_pix
1211,1480
1221,1338
1240,1325
1243,1368
1244,1353
1247,1461
1253,1398
1255,1401
1256,1400
1257,1463
1263,1362
1267,1491
1283,1597
1288,1376
1307,1382
1308,1365
1312,1465
1314,1439
1316,1511
1316,1522
1317,1463
1319,1279
1320,1473
1320,1616
1321,1465
1325,1248
1329,1387
1330,1284
1330,1375
1330,1515
1333,1404
1333,1591
1336,1389
1337,1519
1345,1498
1347,1490
1347,1523
1351,1246
1352,1498
1354,1250
1356,1511
1360,1609
1361,1206
1361,1447
1364,1204
1364,1530
1365,1295
1368,1298
1369,1311
1373,1633
1373,1699
1379,1363
1380,1277
1382,1478
1384,1342
1387,1417
1390,1361
1391,1570
1392,1599
1393,1625
1394,1272
1394,1606
1396,1409
1400,1297
1402,1243
1403,1333
1403,1429
1404,1395
1404,1429
1404,1431
1405,1394
1408,1474
1409,1241
1410,1176
1410,1248
1410,1622
1411,1249
1414,1107
1417,1552
1420,1238
1421,1318
1422,1566
1422,1664
1423,1311
1423,1489
1425,1503
1425,1555
1429,1092
1430,1311
1430,1498
1431,1091
1432,1473
1433,1556
1435,1208
1436,1136
1437,1128
1437,1317
1437,1395
1440,1195
1440,1455
1440,1472
1440,1498
1443,1413
1448,1392
1450,1194
1451,1676
1452,1236
1452,1506
1452,1662
1455,1220
1456,1660
1457,1352
1458,1341
1458,1371
1459,1128
1460,1497
1461,1391
1463,1471
1464,1529
1464,1560
1465,1249
1467,1346
1468,1483
1469,1663
1470,1493
1470,1671
1471,1494
1472,1446
1472,1622
1476,1137
1476,1620
1477,1651
1478,1522
1479,1712
1480,1304
1481,1327
1481,1483
1481,1491
1482,1621
1483,1391
1483,1415
1485,1587
1486,1227
1487,1266
1489,1124
1489,1256
1489,1490
1489,1559
1490,1243
1490,1482
1492,1238
1493,1275
1494,1718
1495,1068
1496,1480
1497,1015
1497,1236
1497,1489
1498,1662
1499,1433
1499,1699
1501,1478
1501,1617
1501,1702
1503,1225
1503,1288
1504,1232
1505,1155
1506,1067
1506,1430
1506,1437
1506,1466
1508,1423
1509,1425
1509,1481
1510,1302
1510,1467
1510,1486
1512,1496
1514,1223
1514,1305
1515,1270
1515,1658
1516,1230
1517,1383
1517,1490
1518,1382
1520,1122
