node_X_pix,node_Y_pix
1750,1520
1774,1442
1801,1537
1821,1508
1834,1339
1843,1499
1856,1494
1857,1494
1863,1485
1864,1148
1865,1257
1869,1485
1872,1495
1873,1212
1879,1341
1881,1104
1901,1245
1905,1234
1910,1335
1911,1439
1912,1240
1912,1815
1915,1565
1917,1761
1918,1353
1920,1334
1920,1355
1920,1594
1923,1739
1926,1380
1930,1331
1934,1086
1940,1444
1942,1148
1943,1443
1944,1165
1946,1572
1948,1770
1949,1337
1951,1348
1953,1831
1955,1352
1958,1548
1958,1552
1958,1798
1960,1399
1961,1545
1962,1606
1964,1635
1965,1316
1965,1352
1967,1418
1969,1762
1970,1330
1974,1314
1974,1400
1975,1496
1977,1372
1977,1412
1977,1786
1978,1448
1979,1408
1980,1240
1980,1575
1981,1569
1981,1574
1982,1462
1983,1381
1984,1157
1984,1431
1984,1441
1986,1442
1987,1260
1987,1475
1987,1536
1989,1251
1989,1473
1990,1539
1992,1237
1992,1434
1993,1451
1994,1486
1995,1487
1997,1468
1998,1634
1999,1495
2000,1408
2006,1417
2009,1479
2010,1479
2010,1501
2013,1591
2015,1597
2018,1546
2020,1512
2023,1444
2024,1513
2025,1214
2030,1220
2031,1577
2031,1682
2034,1461
2034,1579
2039,1744
2040,1605
2042,1743
2044,1755
2045,1202
2048,1753
2049,1213
2052,1489
2055,1663
2057,1210
2057,1497
2057,1748
2058,1207
2060,1525
2064,1540
2066,1537
2066,1554
2071,1519
2074,1725
2076,1622
2078,1202
2081,1544
2085,1541
2092,1670
2099,1107
2099,1563
2101,1598
2101,1632
2102,1633
2102,1657
2103,1066
2105,1704
2106,1113
2106,1649
2107,1104
2107,1116
2107,1575
2111,1581
2112,1119
2112,1650
2114,1657
2114,1721
2116,1110
2116,1125
2121,1677
2122,1642
2122,1676
2123,1064
2124,1185
2127,1667
2127,1718
2132,1666
2132,1700
2133,1616
2134,1112
2136,1040
2137,1681
2139,1644
2139,1712
2140,1685
2146,1122
2146,1652
2154,1070
2157,1653
2157,1709
2158,1135
2159,1172
2159,1657
2160,1044
2161,1672
2163,1145
2164,1676
2166,1667
2167,1669
2170,1137
2172,1140
2173,1679
2174,1159
2174,1703
2178,1165
2179,1688
2182,1709
2189,1702
2190,1719
2190,1720
2191,1718
2192,1723
2193,1160
2194,1709
2194,1726
2197,1109
2198,1715
2199,1729
2201,1076
2202,1720
2210,1731
2231,1092
2241,981
2265,1068
2283,931
2296,1776
2297,1789
2301,1004
2303,1001
2304,1118
2313,1031
2318,951
2318,983
2327,993
2330,1108
2344,1758
2360,1756
2362,948
2363,1096
2364,1078
2364,1084
2374,1092
2375,1088
2381,1089
2396,1739
2404,1758
2406,1080
2407,1047
2457,1062
2457,1716
2458,1718
2468,1078
2471,1002
2481,1067
2488,1108
2497,1046
2497,1110
2505,1134
2523,1162
2527,1140
2530,1173
2531,1021
2534,1687
2537,1000
2541,1078
2543,1062
2552,1205
2555,1772
2565,1226
2572,1220
2576,1242
2577,1671
2578,1125
2581,1160
2591,1108
2591,1130
2592,1267
2594,1062
2594,1138
2597,1664
2598,1122
2602,1281
2603,1709
2608,1228
2612,1155
2612,1296
2621,1237
2622,1248
2622,1282
2622,1669
2623,1654
2624,1684
2624,1763
2627,1232
2628,1220
2638,1241
2638,1723
2642,1089
2646,1209
2661,1371
2662,1166
2667,1372
2673,1296
2683,1141
2687,1410
2690,1198
2703,1435
2704,1251
2707,1427
2707,1430
2708,1310
2708,1391
2710,1426
2723,1344
2727,1174
2728,1472
2739,1272
2739,1398
2741,1492
2742,1220
2743,1462
2747,1607
2749,1364
2753,1600
2756,1487
2765,1528
2766,1530
2775,1310
2815,1443
2820,1476
2853,1435
2927,1485
2339,1396
