EndNodes_1,EndNodes_2,name,edge_id,Weight,Length,Width,Volume,Type,Distance
1,4,745A6229,1,35499.53125,205.50482177734375,28.748046875,133391.625,E,1464.613525390625
2,9,745A6229,2,2.7605302333831787,420.964599609375,26.38818359375,230226.03125,E,1357.35546875
3,4,745A6229,3,0.4116574823856354,98.1591796875,31.18597412109375,74978.96875,E,1407.629638671875
4,6,745A6229,4,0.2701520621776581,66.686767578125,28.310312271118164,41977.71875,E,1343.1397705078125
5,30,745A6229,5,4.522791862487793,286.7778625488281,27.311511993408203,168006.859375,E,1193.8831787109375
6,7,745A6229,6,0.41549208760261536,65.61312866210938,22.423343658447266,25910.83203125,E,1299.381103515625
6,8,745A6229,7,0.31552478671073914,43.803489685058594,23.470983505249023,18952.267578125,E,1294.9842529296875
7,8,745A6229,8,0.01923593133687973,2.5920000076293945,23.2161865234375,1097.252685546875,E,1276.17578125
8,9,745A6229,9,0.08998632431030273,29.769847869873047,18.215150833129883,7757.6826171875,E,1265.779052734375
8,13,745A6229,10,0.238158717751503,46.39548873901367,22.71904182434082,18808.130859375,E,1257.3302001953125
9,12,745A6229,11,0.09159918874502182,15.552000045776367,26.0826358795166,8309.580078125,E,1247.53076171875
10,36,745A6229,12,0.8993921279907227,225.6118927001953,30.803730010986328,168135.140625,E,1287.7410888671875
11,17,745A6229,13,0.42520684003829956,106.1957015991211,31.701244354248047,83820.34375,E,1240.4490966796875
12,13,745A6229,14,0.1261424869298935,29.14092445373535,23.817358016967773,12983.1591796875,E,1239.8536376953125
12,33,745A6229,15,0.9354932308197021,234.1247100830078,30.56439781188965,171778.5,E,1137.21044921875
13,57,745A6229,16,1.1211515665054321,280.9333190917969,31.848560333251953,223806.53125,E,1107.3314208984375
14,18,745A6229,17,0.409576416015625,106.56411743164062,32.387840270996094,87794.0,E,1249.70263671875
15,25,745A6229,18,0.6943960785865784,116.11897277832031,23.965293884277344,52379.16796875,E,1147.9361572265625
16,34,745A6229,19,25.947362899780273,214.20184326171875,29.008346557617188,141566.03125,E,1313.8004150390625
17,18,745A6229,20,0.13116732239723206,34.9538459777832,13.004047393798828,4642.3935546875,E,1204.6112060546875
17,21,745A6229,21,0.0986836776137352,36.027488708496094,28.519262313842773,23014.443359375,E,1188.7093505859375
18,21,745A6229,22,0.10498587787151337,26.10420799255371,31.49251937866211,20333.64453125,E,1189.6297607421875
19,25,745A6229,23,0.2587904930114746,55.24512481689453,29.608186721801758,38037.10546875,E,1111.112060546875
19,26,745A6229,24,0.2665107250213623,29.14092445373535,16.94601821899414,6572.46923828125,E,1110.73388671875
19,31,745A6229,25,1.4780402183532715,187.46871948242188,25.47001838684082,95516.2421875,E,1129.89306640625
20,33,745A6229,26,0.32895269989967346,84.83076477050781,32.180782318115234,68998.0,E,1078.1729736328125
21,73,745A6229,27,1.00532865524292,218.0200958251953,30.793973922729492,162374.53125,E,1076.49560546875
22,45,745A6229,28,0.5501230955123901,141.77847290039062,32.16069793701172,115173.1171875,E,1489.510498046875
23,43,745A6229,29,16.717161178588867,131.85520935058594,25.66641616821289,68220.9296875,E,1121.0010986328125
24,38,745A6229,30,0.42326363921165466,92.16205596923828,30.37277603149414,66774.5625,E,1423.96044921875
25,27,745A6229,31,0.02516285330057144,7.331283092498779,34.13308334350586,6708.4306640625,E,1094.0714111328125
26,31,745A6229,32,0.19531729817390442,31.2882080078125,26.572389602661133,17351.291015625,E,1085.4473876953125
27,30,745A6229,33,0.2987976372241974,75.53640747070312,28.55508041381836,48374.11328125,E,1077.8824462890625
27,40,745A6229,34,0.25978967547416687,87.86750030517578,32.5620231628418,73171.328125,E,1052.3511962890625
28,37,745A6229,35,0.3613436818122864,92.53045654296875,31.955656051635742,74211.3046875,E,1156.7015380859375
29,38,745A6229,36,4.7450785636901855,123.89497375488281,21.50357437133789,44995.0625,E,1385.294921875
30,46,745A6229,37,0.4646623134613037,110.04556274414062,28.978593826293945,72580.015625,E,1025.662109375
31,39,745A6229,38,0.14357632398605347,57.837127685546875,33.02803421020508,49552.1015625,E,1047.6092529296875
32,34,745A6229,39,0.6619473695755005,175.73497009277344,32.817474365234375,148647.765625,E,1259.5406494140625
33,35,745A6229,40,0.03014768660068512,8.849641799926758,34.2601432800293,8158.1923828125,E,1037.7275390625
34,36,745A6229,41,0.19067488610744476,50.5058479309082,32.589176177978516,42128.7265625,E,1195.662841796875
35,52,745A6229,42,0.35988613963127136,93.60411071777344,29.870092391967773,65593.0625,E,1000.6472778320312
