node_X_pix,node_Y_pix
1853,1489
1892,1482
1919,1376
1946,1354
1948,1348
1949,1341
1953,1259
1957,1366
1964,1197
1965,1374
1968,1358
1968,1409
1970,1370
1970,1526
1972,1325
1972,1364
1973,1382
1973,1415
1973,1417
1974,1367
1974,1501
1977,1372
1978,1245
1978,1387
1978,1391
1979,1458
1980,1439
1984,1383
1984,1407
1985,1267
1987,1258
1989,1453
1989,1529
1990,1244
1991,1227
1992,1409
1992,1489
1995,1400
1996,1491
1999,1499
2001,1231
2003,1412
2006,1778
2017,1453
2022,1442
2023,1459
2026,1463
2026,1473
2028,1462
2029,1454
2032,1458
2033,1460
2037,1480
2040,1471
2040,1761
2042,1501
2043,1210
2044,1748
2047,1214
2047,1489
2048,1759
2050,1486
2056,1753
2057,1517
2062,1505
2066,1557
2074,1524
2080,1612
2086,1542
2091,1675
2101,1566
2101,1581
2106,1574
2120,1682
2123,1605
2125,1604
2126,1617
2127,1618
2128,1621
2130,1672
2131,1612
2132,1614
2133,1616
2135,1689
2139,1649
2142,1630
2144,1634
2144,1656
2148,1164
2156,1173
2157,1660
2157,1709
2159,1657
2167,1687
2169,1138
2169,1685
2171,1693
2172,1677
2173,1707
2175,1682
2175,1698
2175,1699
2176,1166
2178,1686
2179,1688
2183,1694
2183,1717
2191,1142
2192,1160
2193,1729
2194,1709
2202,1720
2215,1739
2252,1138
2253,1115
2272,1088
2280,1105
2293,1122
2295,1776
2295,1795
2299,1095
2315,1057
2327,1110
2339,1760
2343,1766
2403,1078
2405,1081
2411,1057
2411,1078
2445,1720
2454,1717
2513,1695
2516,1698
2552,1205
2569,1231
2571,1673
2573,1224
2578,1246
2581,1166
2583,1676
2604,1285
2612,1296
2617,1288
2627,1226
2638,1336
2641,1322
2685,1408
2689,1413
2690,1408
2691,1299
2692,1410
2693,1420
2694,1627
2699,1632
2704,1437
2705,1399
2709,1432
2714,1451
2715,1453
2719,1449
2721,1448
2740,1491
2745,1498
2749,1616
2750,1606
2757,1584
2762,1492
2768,1582
2772,1491
2333,1401
