node_X_pix,node_Y_pix
862,1427
931,1196
944,1230
956,1228
957,1235
960,1379
964,1501
967,1399
968,1221
986,1467
987,1400
989,1172
995,1467
999,1176
1001,1154
1001,1234
1003,1145
1003,1215
1007,1152
1010,1426
1013,1452
1018,1439
1021,1481
1022,1441
1022,1629
1023,1208
1025,1626
1026,1177
1026,1336
1026,1402
1031,1618
1032,1623
1032,1725
1033,1396
1040,1618
1052,1617
1058,1341
1064,1541
1065,1177
1068,1673
1072,1125
1072,1276
1072,1322
1072,1395
1074,1317
1075,1267
1078,1296
1079,1321
1081,1174
1082,1222
1085,1212
1088,1392
1089,1285
1089,1369
1089,1443
1090,1338
1090,1629
1091,1401
1092,1235
1094,1175
1095,1261
1096,1075
1099,1634
1099,1650
1100,1287
1100,1297
1105,1459
1106,1207
1106,1405
1106,1452
1107,1332
1107,1382
1108,1564
1109,1250
1111,1638
1112,1217
1112,1452
1113,1714
1116,1227
1117,1256
1117,1381
1118,1385
1119,1714
1120,1411
1120,1675
1121,1411
1123,1241
1125,1254
1125,1262
1126,1250
1126,1253
1126,1616
1126,1638
1126,1724
1127,1431
1128,1414
1129,1234
1129,1407
1129,1421
1130,1410
1130,1417
1130,1424
1131,1250
1133,1253
1135,1272
1135,1363
1135,1432
1137,956
1137,1219
1139,1394
1140,1214
1141,1436
1142,1267
1143,1421
1144,1365
1144,1422
1145,1754
1146,1369
1147,1365
1148,1212
1148,1411
1148,1413
1148,1742
1149,1422
1150,1450
1152,1366
1152,1371
1152,1755
1153,1342
1154,1298
1155,1185
1155,1405
1155,1747
1156,1407
1157,1509
1158,1759
1160,1208
1161,1643
1164,1609
1168,1734
1169,1033
1170,1251
1170,1377
1170,1570
1170,1594
1170,1608
1171,1641
1172,1651
1173,1261
1175,988
1175,1279
1175,1365
1175,1743
1177,1427
1177,1743
1178,1327
1178,1364
1178,1418
1179,1259
1179,1342
1180,1473
1180,1744
1181,1474
1182,1075
1183,1383
1184,1820
1185,1314
1187,1081
1187,1316
1188,1028
1189,1158
1189,1455
1191,1433
1192,1086
1192,1186
1192,1608
1192,1709
1192,1739
1194,1287
1194,1632
1195,1087
1196,1114
1196,1158
1196,1430
1198,1130
1198,1778
1199,1203
1199,1429
1200,1095
1200,1475
1200,1786
1201,1355
1202,1477
1203,1086
1203,1781
1204,1428
1205,1674
1205,1731
1208,1626
1208,1731
1209,1523
1210,1327
1211,1328
1211,1525
1211,1637
1213,1029
1214,1037
1215,1231
1216,1369
1217,1360
1217,1580
1217,1601
1218,1523
1218,1921
1219,1026
1220,1071
1220,1149
1220,1242
1221,1688
1223,1210
1223,1231
1224,1143
1225,1313
1225,1417
1226,1079
1226,1255
1226,1616
1226,1720
1226,1790
1227,1194
1227,1267
1227,1293
1227,1579
1227,1643
1227,1806
1228,1266
1230,1785
1231,1250
1231,1415
1232,1832
1233,1625
1235,1245
1236,1292
1236,1712
1236,1873
1238,953
1238,1346
1238,1627
1239,1379
1241,1709
1242,1122
1242,1307
1242,1569
1242,1591
1244,1314
1244,1591
1244,1652
1245,1072
1245,1265
1245,1437
1245,1590
1246,1351
1246,1578
1248,1440
1248,1746
1251,1604
1252,1891
1254,1209
1254,1525
1254,1586
1255,1212
1255,1448
1255,1450
1256,1896
1257,1439
1257,1457
1257,1752
1258,1240
1258,1461
1258,1734
1259,1443
1260,1065
1260,1135
1260,1178
1260,1454
1260,1882
1261,1054
1261,1064
1261,1123
1262,1349
1263,1168
1264,1359
1264,1719
1265,1226
1265,1391
1265,1736
1266,1460
1267,1062
1267,1391
1267,1415
1267,1565
1268,994
1268,1443
1268,1446
1268,1460
1268,1488
1268,1643
1269,1218
1269,1237
1269,1419
1269,1426
1269,1452
1269,1764
1270,1058
1270,1449
1270,1708
1270,1812
1271,1820
1272,1642
1273,977
1273,1534
1275,1415
1276,1195
1277,1269
1277,1708
1277,1710
1278,1146
1278,1535
1278,1679
1279,1072
1279,1623
1279,1686
1280,1062
1280,1582
1281,1202
1281,1595
1282,1109
1285,1107
1285,1779
1286,1233
1286,1671
1287,1116
1289,1373
1290,1123
1291,1114
1292,1758
1293,1499
1295,1499
1297,1648
1298,1720
1299,900
1299,1914
1300,1251
1300,1463
1301,1464
1302,1644
1303,1619
1304,1321
1304,1591
1304,1637
1305,1105
1305,1565
1305,1574
1305,1645
1306,1240
1306,1272
1306,1591
1306,1842
1307,1698
1308,907
1308,916
1308,1107
1308,1165
1308,1378
1308,1874
1309,1641
1309,1664
1310,1390
1311,1380
1312,999
1312,1128
1312,1273
1312,1418
1313,1403
1313,1419
1313,1464
1313,1623
1313,1753
1314,1224
1314,1426
1314,1664
1314,1763
1316,1555
1316,1717
1318,1134
1318,1311
1318,1750
1319,1762
1320,1461
1320,1574
1320,1750
1321,1382
1321,1462
1321,1470
1321,1760
1321,1783
1324,841
1324,1405
1325,927
1325,1158
1325,1310
1325,1320
1325,1570
1326,1278
1326,1607
1327,934
1327,1231
1327,1268
1327,1820
1328,1781
1330,1183
1330,1383
1331,1373
1331,1403
1331,1512
1331,1569
1331,1575
1335,915
1335,1778
1335,2007
1336,1180
1336,1408
1336,1588
1336,1719
1337,1103
1337,1305
1337,1515
1338,1110
1338,1120
1338,1133
1338,1188
1338,1565
1339,1134
1339,1386
1339,1515
1339,1575
1341,1585
1343,1759
1345,1196
1345,1701
1345,1766
1346,914
1346,950
1346,1242
1347,1096
1347,1120
1347,1153
1347,1494
1347,1706
1348,1152
1348,1918
1349,1449
1349,1584
1349,1734
1350,1449
1350,1482
1350,1698
1350,1760
1351,1253
1351,1597
1352,1703
1353,1131
1353,1243
1353,1494
1353,1561
1354,1258
1355,1483
1356,1171
1356,1504
1357,1779
1357,1781
1358,1250
1359,850
1359,1688
1359,1902
1360,1457
1360,1684
1360,2085
1361,1202
1361,1452
1361,1934
1362,1527
1362,1932
1363,948
1363,1443
1363,1520
1363,1651
1363,1774
1364,1151
1365,1528
1365,1605
1365,1696
1366,887
1366,1675
1366,1769
1366,1877
1367,1129
1367,1292
1367,1781
1368,1147
1368,1494
1368,1580
1369,1900
1369,1989
1370,881
1370,1294
